Title,Author,Rating,Date Completed,Get Cover Image,Cover Image,Currently Reading,Genre,Topic,Notes,Date Started
Crossroads,"Franzen, Jonathan",5,12/31/2021,https://airtable.com/tblFKk2Z5THzqPENb/reciOeGzJ10Z40P6W?blocks=bliATv69IO4BqYexJ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617877772l/55881796._SY475_.jpg,,,,,
East of Eden,John Steinbeck,5,1/1/2014,https://airtable.com/tblFKk2Z5THzqPENb/recN6d2EBsZEMqJ0F?blocks=bliATv69IO4BqYexJ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639969375l/4406.jpg,,,,,
"Endure: Mind, Body, and the Curiously Elastic Limits of Human Performance",Alex Hutchinson,5,9/5/2022,https://airtable.com/tblFKk2Z5THzqPENb/recL8ZlsvPbhBUGoD?blocks=bliATv69IO4BqYexJ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533053130l/41014339._SY475_.jpg,,,,,
The Rise of Theodore Roosevelt,"Morris, Edmund",5,10/28/2021,https://airtable.com/tblFKk2Z5THzqPENb/recBkx0dlJ1fLRnYp?blocks=bliATv69IO4BqYexJ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586402749l/40929._SY475_.jpg,,,,,
1776,"McCullough, David",4,12/25/2020,https://airtable.com/tblFKk2Z5THzqPENb/recA4n0VmRMtYYFem?blocks=bliATv69IO4BqYexJ,,,,,,
1984,"Orwell, George",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recIBvCXJqDZLV2xx?blocks=bliATv69IO4BqYexJ,,,,,,
A Clockwork Orange,"Burgess, Anthony",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recYO1U0bYOBHWjFI?blocks=bliATv69IO4BqYexJ,,,,,,
A Farewell to Arms,"Hemingway, Ernest",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recF81zDX16atye5x?blocks=bliATv69IO4BqYexJ,,,,,,
A Gentleman in Moscow,"Towles, Amor *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recMdaj1QIkbBJzCX?blocks=bliATv69IO4BqYexJ,,,,,,
A People's History of the United States,"Zinn, Howard",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recI0U7x7jedWQ3Zc?blocks=bliATv69IO4BqYexJ,,,,,,
A Scanner Darkly,"Dick, Philip K.",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec8OmLqZ4DM2YqSw?blocks=bliATv69IO4BqYexJ,,,,,,
A Short History of Reconstruction [Updated Edition],"Foner, Eric",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recQatCIfWiJ3KEX4?blocks=bliATv69IO4BqYexJ,,,,,,
A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,"Wallace, David Foster",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec3D3w5U3zhQCx0i?blocks=bliATv69IO4BqYexJ,,,,,,
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","L'Engle, Madeleine",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recu7slKKJvnbvBMD?blocks=bliATv69IO4BqYexJ,,,,,,
All Quiet on the Western Front,"Remarque, Erich Maria",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recT2JnuK2tVXJJXp?blocks=bliATv69IO4BqYexJ,,,,,,
All the Light We Cannot See,"Doerr, Anthony *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recMosJSngNbZJ8Ls?blocks=bliATv69IO4BqYexJ,,,,,,
Amazon Unbound: Jeff Bezos and the Invention of a Global Empire,"Stone, Brad *",4,7/6/2021,https://airtable.com/tblFKk2Z5THzqPENb/recwj6vrSYol7UnvQ?blocks=bliATv69IO4BqYexJ,,,,,,
Animal Farm,"Orwell, George",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recSepHdFMXupUGan?blocks=bliATv69IO4BqYexJ,,,,,,
Arguably: Selected Essays,"Hitchens, Christopher",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec8p97KsHX1l18AQ?blocks=bliATv69IO4BqYexJ,,,,,,
Between the World and Me,"Coates, Ta-Nehisi",4,7/10/2020,https://airtable.com/tblFKk2Z5THzqPENb/recy7FxcuriVoW08x?blocks=bliATv69IO4BqYexJ,,,,,,
Billy Lynn's Long Halftime Walk,"Fountain, Ben",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recHMp1PXVLBESCpM?blocks=bliATv69IO4BqYexJ,,,,,,
"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street","Kolhatkar, Sheelah *",4,2/28/2021,https://airtable.com/tblFKk2Z5THzqPENb/recHac3smdlAQqmnb?blocks=bliATv69IO4BqYexJ,,,,,,
"Blood Meridian, or the Evening Redness in the West","McCarthy, Cormac",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recFxEBZ8ay5YTBD2?blocks=bliATv69IO4BqYexJ,,,,,,
Boomerang: Travels in the New Third World,"Lewis, Michael",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recWau54UBt9BRzUu?blocks=bliATv69IO4BqYexJ,,,,,,
Brave New World,"Huxley, Aldous",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recANdJBZ7OavqTMC?blocks=bliATv69IO4BqYexJ,,,,,,
Buffalo for the Broken Heart: Restoring Life to a Black Hills Ranch,"O'Brien, Dan",4,9/8/2021,https://airtable.com/tblFKk2Z5THzqPENb/recBPLRdfl7v1vz3I?blocks=bliATv69IO4BqYexJ,,,,,,
But What If We're Wrong? Thinking About the Present As If It Were the Past,"Klosterman, Chuck",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recJe0Is5793TPZpH?blocks=bliATv69IO4BqYexJ,,,,,,
Cat's Cradle,"Vonnegut Jr., Kurt",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recEUMcKCcnQyr4jB?blocks=bliATv69IO4BqYexJ,,,,,,
Catch-22,"Heller, Joseph",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec4NLjUL0sqyMNOf?blocks=bliATv69IO4BqYexJ,,,,,,
Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,"García Martínez, Antonio",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec1Bx9JJKqQAYyJs?blocks=bliATv69IO4BqYexJ,,,,,,
Cosmos,"Sagan, Carl",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recClkJqg4AaBhvdf?blocks=bliATv69IO4BqYexJ,,,,,,
Do Androids Dream of Electric Sheep?,"Dick, Philip K.",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec3b3zgJ3yXwvDyT?blocks=bliATv69IO4BqYexJ,,,,,,
"Dopesick: Dealers, Doctors, and the Drug Company that Addicted America","Macy, Beth *",4,12/28/2021,https://airtable.com/tblFKk2Z5THzqPENb/rec0Elces64RVhnlC?blocks=bliATv69IO4BqYexJ,,,,,,
Downtown Owl,"Klosterman, Chuck",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recYxdbXtSaYGSyzv?blocks=bliATv69IO4BqYexJ,,,,,,
Drive: The Surprising Truth About What Motivates Us,"Pink, Daniel H. *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recFrTHO5KQLY55fs?blocks=bliATv69IO4BqYexJ,,,,,,
Eating the Dinosaur,"Klosterman, Chuck",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recRXjd3I9vSjCZu8?blocks=bliATv69IO4BqYexJ,,,,,,
"Empires of Light: Edison, Tesla, Westinghouse, and the Race to Electrify the World","Jonnes, Jill",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recvx8GdZqilzEmuu?blocks=bliATv69IO4BqYexJ,,,,,,
"Ender’s Game (Ender's Saga, #1)","Card, Orson Scott",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recZuUZTyXzYlbKPN?blocks=bliATv69IO4BqYexJ,,,,,,
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress","Pinker, Steven *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recFGWoBs1vs4Gp2C?blocks=bliATv69IO4BqYexJ,,,,,,
Fahrenheit 451,"Bradbury, Ray",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec0V7qID0Ptkle7t?blocks=bliATv69IO4BqYexJ,,,,,,
Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,"Klosterman, Chuck",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec7KiJxYTa0ZrmXV?blocks=bliATv69IO4BqYexJ,,,,,,
Flash Boys: A Wall Street Revolt,"Lewis, Michael",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec95TEYEj9iawJML?blocks=bliATv69IO4BqYexJ,,,,,,
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Levitt, Steven D.",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recJCZI0I0NORnD5p?blocks=bliATv69IO4BqYexJ,,,,,,
Freedom,"Franzen, Jonathan",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recIfqiksrlCWAx5j?blocks=bliATv69IO4BqYexJ,,,,,,
God Is Not Great: How Religion Poisons Everything,"Hitchens, Christopher",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recqjBha7CcOZrRhJ?blocks=bliATv69IO4BqYexJ,,,,,,
"Guns, Germs, and Steel: The Fates of Human Societies","Diamond, Jared",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recAW9TXzdeGbGQmT?blocks=bliATv69IO4BqYexJ,,,,,,
High Output Management,"Grove, Andrew S.",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recftCLNPyN2UTghv?blocks=bliATv69IO4BqYexJ,,,,,,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"Vance, J.D.",4,1/30/2017,https://airtable.com/tblFKk2Z5THzqPENb/recUcccmSo0fHbsKc?blocks=bliATv69IO4BqYexJ,,,,,,
Homo Deus: A Brief History of Tomorrow,"Harari, Yuval Noah",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rechKBrJx4PssjYfU?blocks=bliATv69IO4BqYexJ,,,,,,
How I Raised Myself From Failure to Success in Selling,"Bettger, Frank",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec2BYasPKjYpHcdx?blocks=bliATv69IO4BqYexJ,,,,,,
How to Be Alone,"Franzen, Jonathan",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec4ltQKK4d4Dfezk?blocks=bliATv69IO4BqYexJ,,,,,,
I Wear the Black Hat: Grappling With Villains,"Klosterman, Chuck",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recp644IhEg9lXt5p?blocks=bliATv69IO4BqYexJ,,,,,,
Imagine: How Creativity Works,"Lehrer, Jonah *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recU5FkeR1R96iixr?blocks=bliATv69IO4BqYexJ,,,,,,
"In the Plex: How Google Thinks, Works, and Shapes Our Lives","Levy, Steven *",4,10/28/2021,https://airtable.com/tblFKk2Z5THzqPENb/rece9G5TG0N0kwzTT?blocks=bliATv69IO4BqYexJ,,,,,,
"Inferno (Robert Langdon, #4)","Brown, Dan *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recO4eO1SSUs8hEP8?blocks=bliATv69IO4BqYexJ,,,,,,
Infinite Jest,"Wallace, David Foster",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recRG6MYXuv3Vi8CS?blocks=bliATv69IO4BqYexJ,,,,,,
Island,"Huxley, Aldous",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recVmTwGP7KOTLcrc?blocks=bliATv69IO4BqYexJ,,,,,,
Killing Yourself to Live: 85% of a True Story,"Klosterman, Chuck",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recUJIgBfmDGxPqgR?blocks=bliATv69IO4BqYexJ,,,,,,
Kurt Vonnegut's Cat's Cradle,"Bloom, Harold",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recuSsZTNxPB59u1h?blocks=bliATv69IO4BqYexJ,,,,,,
Liar's Poker,"Lewis, Michael",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec60SrFmeqAAx0Gk?blocks=bliATv69IO4BqYexJ,,,,,,
Lolita,"Nabokov, Vladimir",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec4OB1ErlgObRt0m?blocks=bliATv69IO4BqYexJ,,,,,,
Lord of the Flies,"Golding, William",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recMmPvj2wJkcB5UD?blocks=bliATv69IO4BqYexJ,,,,,,
Mortality,"Hitchens, Christopher",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec7CILRkiXlCvJWi?blocks=bliATv69IO4BqYexJ,,,,,,
Of Mice and Men,"Steinbeck, John",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec1JHGiDbQ80DK9S?blocks=bliATv69IO4BqYexJ,,,,,,
On the Road,"Kerouac, Jack",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recAtDEcwUvmmsgt0?blocks=bliATv69IO4BqYexJ,,,,,,
Outliers: The Story of Success,"Gladwell, Malcolm",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recuVFS72AsjFm4d3?blocks=bliATv69IO4BqYexJ,,,,,,
Predictable Revenue: Turn Your Business Into a Sales Machine with the $100 Million Best Practices of Salesforce.com,"Ross, Aaron",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recW0Ezo6Onat1XFn?blocks=bliATv69IO4BqYexJ,,,,,,
Purity,"Franzen, Jonathan",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recCNnAzNRY02igNy?blocks=bliATv69IO4BqYexJ,,,,,,
Raised in Captivity: Fictional Nonfiction,"Klosterman, Chuck",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recqwKw6vMbLUdbk5?blocks=bliATv69IO4BqYexJ,,,,,,
Redeployment,"Klay, Phil *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recIy1BM3wLpG6X56?blocks=bliATv69IO4BqYexJ,,,,,,
